ID,Continent,Catchment,longitude_sta,latitude,Client,Network,Station,Location,Component,SPS,Distance (km),Start-time,End-time
44,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-07-02T22:05:00,2019-07-02T23:00:00
45,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-07-03T16:30:00,2019-07-03T18:00:00
46,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-07-15T03:30:00,2019-07-15T04:45:00
47,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-07-26T17:30:00,2019-07-26T18:30:00
48,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-08-11T16:45:00,2019-08-11T17:45:00
49,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-08-20T16:30:00,2019-08-20T17:30:00
50,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-10-09T11:45:00,2019-10-09T12:45:00
51,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2019-10-15T16:00:00,2019-10-15T19:00:00
52,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2020-06-04T15:00:00,2020-06-04T17:45:00
53,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2020-06-07T07:30:00,2020-06-07T09:15:00
54,European,Illgraben,7.62994,46.2873,ETH,9S,ILL12,empty,EHZ,100,0.09,2020-06-08T13:55:00,2020-06-08T15:30:00
